time,SSCxs_mg_per_liter,SSCpt_mg_per_liter,Site_number
27-Feb-2000 18:00:00,864.309456742888,1041.1294237529,120001A
27-Feb-2000 19:00:00,862.454907521984,1038.50137834693,120001A
27-Feb-2000 20:00:00,866.211271216107,1042.5063885306,120001A
27-Feb-2000 21:00:00,865.132054693389,1041.01171759327,120001A
27-Feb-2000 22:00:00,863.753961907109,1039.17606107235,120001A
27-Feb-2000 23:00:00,862.089549173541,1037.00988219079,120001A
28-Feb-2000 00:00:00,858.214136693721,1032.23656147976,120001A
28-Feb-2000 01:00:00,855.739895493937,1029.04081276792,120001A
28-Feb-2000 02:00:00,853.472104390131,1026.07116832466,120001A
28-Feb-2000 03:00:00,849.488575440105,1021.07678894466,120001A
28-Feb-2000 04:00:00,846.685997859575,1017.41487941213,120001A
28-Feb-2000 05:00:00,850.24772898623,1021.22083052325,120001A
28-Feb-2000 06:00:00,844.754309265779,1014.56410246408,120001A
28-Feb-2000 07:00:00,841.027453617333,1009.86082919586,120001A
28-Feb-2000 08:00:00,838.557213402377,1006.58675967799,120001A
28-Feb-2000 09:00:00,836.081783766113,1003.30558255149,120001A
28-Feb-2000 10:00:00,834.553936651614,1001.13571656563,120001A
28-Feb-2000 11:00:00,835.356482667903,1001.72789682029,120001A
28-Feb-2000 12:00:00,833.907824698913,999.769803508263,120001A
28-Feb-2000 13:00:00,832.265411308146,997.591036260748,120001A
28-Feb-2000 14:00:00,830.208436317703,994.925515563069,120001A
28-Feb-2000 15:00:00,828.067030735258,992.1481307617,120001A
28-Feb-2000 16:00:00,826.253693046557,989.74251394676,120001A
28-Feb-2000 17:00:00,826.352863313794,989.578528847825,120001A
28-Feb-2000 18:00:00,825.063325911342,987.844163539216,120001A
28-Feb-2000 19:00:00,822.439718642935,984.556546714878,120001A
28-Feb-2000 20:00:00,820.786173325719,982.372308979695,120001A
28-Feb-2000 21:00:00,817.91835521611,978.764870702768,120001A
28-Feb-2000 22:00:00,813.21692867466,972.973459372441,120001A
28-Feb-2000 23:00:00,809.965170826225,968.797241343102,120001A
29-Feb-2000 00:00:00,799.347203808181,955.972360592943,120001A
29-Feb-2000 01:00:00,797.228896291468,952.861248487196,120001A
29-Feb-2000 02:00:00,796.079712454099,950.943034201129,120001A
29-Feb-2000 03:00:00,783.349644340814,935.558310291841,120001A
29-Feb-2000 04:00:00,778.905822435258,929.580106340449,120001A
29-Feb-2000 05:00:00,775.853515340518,925.246004454474,120001A
29-Feb-2000 06:00:00,771.785485800349,919.792972308352,120001A
29-Feb-2000 07:00:00,768.740049926559,915.563754430941,120001A
29-Feb-2000 08:00:00,761.791498971136,906.823120177014,120001A
29-Feb-2000 09:00:00,759.580354700588,903.52474632229,120001A
29-Feb-2000 10:00:00,756.877876786489,899.727996901793,120001A
